English,Danish
The cat sat on the windowsill  watching the birds outside.,Katten sad på vindueskarmen og kiggede på fuglene udenfor.
She baked a delicious chocolate cake for her friend's birthday.,Hun bagte en lækker chokoladekage til sin vens fødselsdag.
The new park in the city center has become a popular spot for families.,Den nye park i byens centrum er blevet et populært sted for familier.
He quickly realized that learning a new language requires patience and practice.,"Han indså hurtigt, at det at lære et nyt sprog kræver tålmodighed og praksis."
The old castle on the hill offers a beautiful view of the surrounding countryside.,Det gamle slot på bakken tilbyder en smuk udsigt over det omkringliggende landskab.
They decided to spend their vacation exploring the remote islands of the Pacific Ocean.,De besluttede at tilbringe deres ferie med at udforske de fjerne øer i Stillehavet.
The scientist made a groundbreaking discovery that could change the future of medicine.,"Forskeren gjorde en banebrydende opdagelse, der kunne ændre medicinens fremtid."
The children were excited to start their first day of school after summer break.,Børnene var begejstrede for at starte deres første skoledag efter sommerferien.
She completed the marathon despite the challenging weather conditions.,Hun gennemførte maratonen trods de udfordrende vejrforhold.
The innovative startup aims to create sustainable solutions for urban living.,Den innovative startup har til formål at skabe bæredygtige løsninger til byliv.
His grandfather told him stories about the old days when the village was much smaller.,"Hans bedstefar fortalte ham historier om gamle dage, da landsbyen var meget mindre."
The aroma of freshly brewed coffee filled the room.,Duften af friskbrygget kaffe fyldte rummet.
Under the starry sky  they promised to remain friends forever.,Under den stjerneklare himmel lovede de at forblive venner for evigt.
Despite the heavy rain  the festival continued as planned.,På trods af det kraftige regnvejr fortsatte festivalen som planlagt.
She cherished the handwritten letters her grandmother sent her every month.,"Hun værdsatte de håndskrevne breve, som hendes bedstemor sendte hende hver måned."
With determination  he climbed to the top of the mountain.,Med beslutsomhed klatrede han til toppen af bjerget.
The little boy was fascinated by the colorful fish in the aquarium.,Den lille dreng var fascineret af de farverige fisk i akvariet.
She spent her weekends volunteering at the animal shelter.,Hun tilbragte sine weekender med at arbejde frivilligt på dyreinternatet.
The young artist displayed her paintings at the local gallery.,Den unge kunstner udstillede sine malerier i det lokale galleri.
They enjoyed a quiet picnic by the lake.,De nød en stille picnic ved søen.
The librarian recommended a great book on Danish history.,Bibliotekaren anbefalede en fantastisk bog om dansk historie.
An unexpected snowstorm hit the town last night.,En uventet snestorm ramte byen i nat.
She practiced the piano every day to prepare for her recital.,Hun øvede klaver hver dag for at forberede sig til sin koncert.
The beach was crowded with people enjoying the sunny weather.,"Stranden var fyldt med mennesker, der nød det solrige vejr."
He bought a ticket to the concert as soon as they went on sale.,"Han købte en billet til koncerten, så snart de blev sat til salg."
The kids built a sandcastle near the shore.,Børnene byggede et sandslot nær kysten.
Her favorite pastime was knitting scarves for her friends.,Hendes yndlingsbeskæftigelse var at strikke tørklæder til sine venner.
They took a road trip across the country in their old van.,De tog på en biltur tværs gennem landet i deres gamle varevogn.
He opened a bakery in his hometown after retiring.,Han åbnede et bageri i sin hjemby efter at have trukket sig tilbage.
The movie received rave reviews from critics.,Filmen fik strålende anmeldelser fra kritikerne.
She loved exploring the hidden alleys of the ancient city.,Hun elskede at udforske de skjulte gyder i den gamle by.
The newlyweds danced under the stars at their wedding reception.,De nygifte dansede under stjernerne til deres bryllupsfest.
The sun set over the horizon  painting the sky in shades of pink and orange.,Solen gik ned over horisonten og malede himlen i nuancer af lyserød og orange.
The chef served a three-course gourmet meal to the guests.,Kokken serverede et tre-retters gourmetmåltid til gæsterne.
His dream was to become a famous author one day.,Hans drøm var at blive en berømt forfatter en dag.
The ancient ruins stood as a testament to a forgotten civilization.,De gamle ruiner stod som et vidnesbyrd om en glemt civilisation.
She found an old map hidden in the attic of her grandparents' house.,Hun fandt et gammelt kort gemt på loftet i sine bedsteforældres hus.
The festival featured an array of international cuisines.,Festivalen fremviste en række internationale køkkener.
He worked tirelessly to complete his project before the deadline.,Han arbejdede utrætteligt for at færdiggøre sit projekt inden deadline.
The children laughed and played in the colorful autumn leaves.,Børnene lo og legede i de farverige efterårsblade.
She wore a beautiful vintage dress to the party.,Hun bar en smuk vintagekjole til festen.
The lighthouse guided the ships safely to shore.,Fyret guidede skibene sikkert til kysten.
They adopted a puppy from the animal shelter last week.,De adopterede en hvalp fra dyreinternatet i sidste uge.
The garden was filled with blooming flowers of every kind.,Haven var fyldt med blomstrende blomster af enhver slags.
He took up painting as a hobby during the lockdown.,Han begyndte at male som hobby under nedlukningen.
The choir performed a stunning rendition of the national anthem.,Koret fremførte en fantastisk fortolkning af nationalsangen.
Her grandmother's recipes were passed down through generations.,Hendes bedstemors opskrifter blev givet videre gennem generationer.
The little girl was excited to see her favorite animal at the zoo.,Den lille pige var begejstret for at se sit yndlingsdyr i zoologisk have.
The bookshop on the corner had a unique collection of old books.,Boghandlen på hjørnet havde en unik samling af gamle bøger.
He participated in the annual marathon for charity.,Han deltog i det årlige maraton for velgørenhed.
The artist's mural brightened up the entire street.,Kunstnerens vægmaleri oplyste hele gaden.
She practiced yoga every morning to start her day.,Hun dyrkede yoga hver morgen for at starte sin dag.
They enjoyed a scenic train ride through the mountains.,De nød en naturskøn togtur gennem bjergene.
